position,inclusion_freq,expected_p
291,0.05015,0.05
292,0.05055,0.05
293,0.0517,0.05
294,0.048,0.05
295,0.0527,0.05
296,0.05085,0.05
297,0.0503,0.05
298,0.05005,0.05
299,0.05085,0.05
300,0.04835,0.05
301,0.0495,0.05
302,0.05175,0.05
303,0.049,0.05
304,0.0492,0.05
305,0.0492,0.05
306,0.0478,0.05
307,0.0503,0.05
308,0.05005,0.05
309,0.05095,0.05
310,0.049,0.05
311,0.0496,0.05
312,0.0488,0.05
313,0.0495,0.05
314,0.04795,0.05
315,0.05075,0.05
316,0.0519,0.05
317,0.04955,0.05
318,0.0498,0.05
319,0.0495,0.05
320,0.05025,0.05
321,0.04675,0.05
322,0.0516,0.05
323,0.05025,0.05
324,0.0508,0.05
325,0.05045,0.05
326,0.0516,0.05
327,0.0487,0.05
328,0.05015,0.05
329,0.05265,0.05
330,0.0487,0.05
331,0.049,0.05
332,0.04915,0.05
333,0.0531,0.05
334,0.04925,0.05
335,0.04815,0.05
336,0.04955,0.05
337,0.05035,0.05
338,0.04865,0.05
339,0.0535,0.05
340,0.05005,0.05
341,0.0479,0.05
342,0.0499,0.05
343,0.04815,0.05
344,0.05245,0.05
345,0.05315,0.05
346,0.05135,0.05
347,0.05035,0.05
348,0.0525,0.05
349,0.0485,0.05
350,0.0519,0.05
351,0.0509,0.05
352,0.0513,0.05
353,0.0486,0.05
354,0.0505,0.05
355,0.05125,0.05
356,0.0512,0.05
357,0.04915,0.05
358,0.0488,0.05
359,0.04935,0.05
360,0.04905,0.05
361,0.05135,0.05
362,0.04795,0.05
363,0.05105,0.05
364,0.05055,0.05
365,0.0507,0.05
366,0.0469,0.05
367,0.04835,0.05
368,0.04845,0.05
369,0.0503,0.05
370,0.0495,0.05
371,0.0491,0.05
372,0.05225,0.05
373,0.04745,0.05
374,0.05095,0.05
375,0.0513,0.05
376,0.0496,0.05
377,0.0491,0.05
378,0.04915,0.05
379,0.05295,0.05
380,0.0516,0.05
381,0.05175,0.05
382,0.0467,0.05
383,0.0508,0.05
384,0.04865,0.05
385,0.0514,0.05
386,0.048,0.05
387,0.0486,0.05
388,0.05245,0.05
389,0.05055,0.05
390,0.0498,0.05
391,0.05115,0.05
392,0.05065,0.05
393,0.04845,0.05
394,0.04805,0.05
395,0.04955,0.05
396,0.0502,0.05
397,0.04915,0.05
398,0.0496,0.05
399,0.04815,0.05
400,0.0485,0.05
401,0.05055,0.05
402,0.04865,0.05
403,0.05225,0.05
404,0.04945,0.05
405,0.05005,0.05
406,0.05275,0.05
407,0.049,0.05
408,0.0519,0.05
409,0.04595,0.05
410,0.04905,0.05
411,0.0499,0.05
412,0.0495,0.05
413,0.0503,0.05
414,0.04925,0.05
415,0.05375,0.05
416,0.04805,0.05
417,0.04905,0.05
418,0.05005,0.05
419,0.0497,0.05
420,0.0512,0.05
421,0.05345,0.05
422,0.0529,0.05
423,0.04845,0.05
424,0.04845,0.05
425,0.05005,0.05
426,0.0474,0.05
427,0.0502,0.05
428,0.05005,0.05
429,0.05165,0.05
430,0.05155,0.05
431,0.0494,0.05
432,0.0533,0.05
433,0.0506,0.05
434,0.0531,0.05
435,0.049,0.05
436,0.04975,0.05
437,0.04805,0.05
438,0.0511,0.05
439,0.05165,0.05
440,0.0498,0.05
441,0.0524,0.05
442,0.0466,0.05
443,0.04985,0.05
444,0.0479,0.05
445,0.05075,0.05
446,0.05165,0.05
447,0.0485,0.05
448,0.0499,0.05
449,0.04915,0.05
450,0.05045,0.05
451,0.05125,0.05
452,0.0504,0.05
453,0.0473,0.05
454,0.05085,0.05
455,0.0479,0.05
456,0.051,0.05
457,0.0488,0.05
458,0.04935,0.05
459,0.04715,0.05
460,0.04825,0.05
461,0.04915,0.05
462,0.04975,0.05
463,0.04915,0.05
464,0.0498,0.05
465,0.04965,0.05
466,0.053,0.05
467,0.05105,0.05
468,0.05035,0.05
469,0.05265,0.05
470,0.04735,0.05
471,0.04955,0.05
472,0.04915,0.05
473,0.0503,0.05
474,0.05325,0.05
475,0.05055,0.05
476,0.05,0.05
477,0.05215,0.05
478,0.04965,0.05
479,0.0505,0.05
480,0.0533,0.05
481,0.0505,0.05
482,0.04925,0.05
483,0.0534,0.05
484,0.0506,0.05
485,0.05035,0.05
486,0.0527,0.05
487,0.0501,0.05
488,0.0501,0.05
489,0.0525,0.05
490,0.0504,0.05
491,0.0505,0.05
492,0.05195,0.05
493,0.05395,0.05
494,0.0507,0.05
495,0.0504,0.05
496,0.05215,0.05
497,0.05155,0.05
498,0.0501,0.05
499,0.0491,0.05
500,0.0512,0.05
501,0.04655,0.05
502,0.0509,0.05
503,0.05,0.05
504,0.05135,0.05
505,0.04985,0.05
506,0.05225,0.05
507,0.0516,0.05
508,0.04915,0.05
509,0.04935,0.05
510,0.05035,0.05
511,0.0504,0.05
512,0.05175,0.05
513,0.0519,0.05
514,0.04945,0.05
515,0.04945,0.05
516,0.0506,0.05
517,0.0531,0.05
518,0.0497,0.05
519,0.0508,0.05
520,0.0492,0.05
521,0.04995,0.05
522,0.05135,0.05
523,0.05085,0.05
524,0.04695,0.05
525,0.05065,0.05
526,0.0492,0.05
527,0.04825,0.05
528,0.04995,0.05
529,0.0513,0.05
530,0.0505,0.05
531,0.0503,0.05
532,0.05005,0.05
533,0.05015,0.05
